dataset,GTEx(N),TCGA(N),TCGA(C),keep_info,beta,F1,Precision,Recall,Specificity,Accuracy,AUC
breast,110,982,0.933
liver,48,295,0.84
lung,59,503,0.964
prostate,48,426,0.949
stomach,33,380,0.896
thyroid,53,441,0.873
